request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 7 August 2025. This completes the full INR 242,600 and keeps the INR 131,400 minimum protected."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay ZAR 13,398 today. This leaves at least ZAR 21,731.60 available over the next 90 days, above the ZAR 8,700 minimum."
request_160,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 August 2024. Only EUR 0 of the EUR 1,246.30 is safe, and none of the available options keeps the EUR 1,200 minimum protected within the next 90 days."
request_161,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. Only IDR 0 of the IDR 21,204,000 is safe, and none of the available options keeps the IDR 23,010,400 minimum protected within the next 90 days."
request_162,1358516.59,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 August 2026. Only IDR 1,358,516.59 of the IDR 83,923,000 is safe, and none of the available options keeps the IDR 24,161,100 minimum protected within the next 90 days."
request_163,9192146.41,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-11-15,reduce_to:event_15013:664050|reduce_to:event_15017:664050|reduce_to:event_15018:664050,"Use 3 installments of IDR 6,692,053.33, starting 10 September 2024. This completes the full IDR 19,304,000 and keeps the IDR 26,728,700 minimum protected."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 11 February 2025. This completes the full IDR 27,018,000 and keeps the IDR 29,550,500 minimum protected."
request_165,55750.87,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 April 2026. Only INR 55,750.87 of the INR 80,600 is safe, and none of the available options keeps the INR 95,000 minimum protected within the next 90 days."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024. This completes the full USD 2,907.60 and keeps the USD 1,700 minimum protected."
request_167,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 31 May 2025. Only ZAR 0 of the ZAR 43,802 is safe, and none of the available options keeps the ZAR 31,200 minimum protected within the next 90 days."
request_168,28672.5,affordable_with_plan,partial_payment,2026-01-07:28672.50|2026-01-15:20707.50,2026-01-15,none,"Pay INR 28,672.50 today and the remaining INR 20,707.50 on 15 January 2026. This completes the full request and keeps the INR 114,400 minimum protected."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 25,316.30 available over the next 90 days, above the ZAR 18,700 minimum."
request_170,31364600.87,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12,804,480, starting 6 August 2025. This completes the full IDR 36,936,000 and keeps the IDR 24,715,800 minimum protected."
request_171,34.47,not_affordable,not_recommended,none,,none,"Do not make this payment by 10 September 2026. Only EUR 34.47 of the EUR 1,878.80 is safe, and none of the available options keeps the EUR 500 minimum protected within the next 90 days."
request_172,7684.08,affordable_with_plan,partial_payment,2024-06-05:7684.08|2024-06-15:2515.92,2024-06-15,none,"Pay ZAR 7,684.08 today and the remaining ZAR 2,515.92 on 15 June 2024. This completes the full request and keeps the ZAR 27,200 minimum protected."
request_173,60431.86,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,,reduce_to:event_15941:2105,"Use 3 installments of INR 39,173.33, starting 21 November 2025. This completes the full INR 113,000 and keeps the INR 79,100 minimum protected."
request_174,1000.92,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 June 2026. Only EUR 1,000.92 of the EUR 1,146.20 is safe, and none of the available options keeps the EUR 700 minimum protected within the next 90 days."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 2,006.56 available over the next 90 days, above the EUR 1,700 minimum."
request_176,348.13,affordable_later,wait,2025-03-15:1239.70,2025-03-15,none,"Pay EUR 1,239.70 in full on 15 March 2025. Paying earlier would take the balance below the EUR 600 minimum, which it reaches on 14 February 2025."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,473.63 available over the next 90 days, above the USD 1,300 minimum."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 7 December 2024. This completes the full EUR 2,938.10 and keeps the EUR 1,400 minimum protected."
request_179,7101050.22,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Pay IDR 41,648,000 in full on 15 July 2025. Paying earlier would take the balance below the IDR 41,430,800 minimum, which it reaches on 14 May 2025."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 today. This leaves at least INR 46,760.39 available over the next 90 days, above the INR 37,300 minimum."
request_181,389.15,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 April 2024. Only USD 389.15 of the USD 5,059.20 is safe, and none of the available options keeps the USD 2,000 minimum protected within the next 90 days."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today. This leaves at least ZAR 39,408.03 available over the next 90 days, above the ZAR 31,100 minimum."
request_183,22579283.14,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-15,none,"Use 3 installments of IDR 9,313,546.67, starting 10 April 2026. This completes the full IDR 26,866,000 and keeps the IDR 11,878,300 minimum protected."
request_184,4635.92,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 July 2024. Only INR 4,635.92 of the INR 251,900 is safe, and none of the available options keeps the INR 110,800 minimum protected within the next 90 days."
request_185,357.77,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Pay EUR 1,257.30 in full on 15 January 2026. Paying earlier would take the balance below the EUR 1,300 minimum, which it reaches on 14 November 2025."
request_186,5988.84,affordable_later,wait,2026-03-15:26554,2026-03-15,none,"Pay ZAR 26,554 in full on 15 March 2026. Paying earlier would take the balance below the ZAR 22,000 minimum, which it reaches on 14 January 2026."
request_187,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 November 2024. Only INR 0 of the INR 187,500 is safe, and none of the available options keeps the INR 128,300 minimum protected within the next 90 days."
request_188,142.44,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 March 2025. Only EUR 142.44 of the EUR 2,464 is safe, and none of the available options keeps the EUR 900 minimum protected within the next 90 days."
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,"Pay EUR 488.40 today. This leaves at least EUR 471 available over the next 90 days, above the EUR 400 minimum."
request_190,528.48,affordable_later,wait,2025-02-15:2557.50,2025-02-15,none,"Pay EUR 2,557.50 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1,600 minimum, which it reaches on 14 December 2024."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,"Pay EUR 664.40 today. This leaves at least EUR 617.74 available over the next 90 days, above the EUR 500 minimum."
request_192,101.58,not_affordable,not_recommended,none,,none,"Do not make this payment by 11 May 2026. Only USD 101.58 of the USD 2,046 is safe, and none of the available options keeps the USD 1,000 minimum protected within the next 90 days."
request_193,96.96,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-03-15,none,"Use 3 installments of EUR 420.23, starting 21 March 2024. This completes the full EUR 1,212.20 and keeps the EUR 1,000 minimum protected."
request_194,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 October 2025. Only INR 0 of the INR 132,800 is safe, and none of the available options keeps the INR 113,600 minimum protected within the next 90 days."
request_195,994.12,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-01-15,none,"Use 3 installments of EUR 405.74, starting 9 January 2026. This completes the full EUR 1,170.40 and keeps the EUR 700 minimum protected."
request_196,193.53,not_affordable,not_recommended,none,,none,"Do not make this payment by 5 July 2024. Only EUR 193.53 of the EUR 762.30 is safe, and none of the available options keeps the EUR 500 minimum protected within the next 90 days."
request_197,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 January 2026. Only IDR 0 of the IDR 50,939,000 is safe, and none of the available options keeps the IDR 26,245,900 minimum protected within the next 90 days."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800 today. This leaves at least INR 170,234.11 available over the next 90 days, above the INR 124,300 minimum."
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8,206,986.67, starting 7 September 2024. This completes the full IDR 23,674,000 and keeps the IDR 25,359,500 minimum protected."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000 today. This leaves at least IDR 24,286,525.40 available over the next 90 days, above the IDR 20,114,600 minimum."
request_201,23923566.18,affordable_with_plan,full_payment,2026-04-03:23997000,,stop:event_18492,"Stop the cloud storage plan, then pay IDR 23,997,000 today. Without that change the balance would fall to IDR 17,231,066.19 on 2 July 2026 and breach the IDR 17,304,500 minimum."
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900 today. This leaves at least INR 166,564.31 available over the next 90 days, above the INR 147,800 minimum."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments of EUR 499.93, starting 10 May 2025. This completes the full EUR 1,442.10 and keeps the EUR 1,400 minimum protected."
request_204,522.66,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,"Pay EUR 588.74 in full on 15 January 2026. Paying earlier would take the balance below the EUR 1,300 minimum, which it reaches on 14 January 2026."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000 today. This leaves at least IDR 15,737,387.24 available over the next 90 days, above the IDR 13,994,300 minimum."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 3 August 2025. This completes the full EUR 1,404.70 and keeps the EUR 900 minimum protected."
request_207,4857.36,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Pay ZAR 11,830 in full on 15 July 2026. Paying earlier would take the balance below the ZAR 13,600 minimum, which it reaches on 14 July 2026."
request_208,3617617.03,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Pay IDR 4,413,000 in full on 15 June 2024. Paying earlier would take the balance below the IDR 10,470,700 minimum, which it reaches on 14 June 2024."
request_209,1513.46,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 November 2025. Only ZAR 1,513.46 of the ZAR 56,914 is safe, and none of the available options keeps the ZAR 18,400 minimum protected within the next 90 days."
request_210,842.09,affordable_with_plan,partial_payment,2026-04-06:842.09|2026-04-15:517.93,2026-04-15,none,"Pay USD 842.09 today and the remaining USD 517.93 on 15 April 2026. This completes the full request and keeps the USD 2,000 minimum protected."
request_211,298.05,affordable_later,wait,2024-11-15:1788.60,2024-11-15,none,"Pay EUR 1,788.60 in full on 15 November 2024. Paying earlier would take the balance below the EUR 1,500 minimum, which it reaches on 14 September 2024."
request_212,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 February 2025. Only IDR 0 of the IDR 71,934,000 is safe, and none of the available options keeps the IDR 29,579,800 minimum protected within the next 90 days."
request_213,2738.48,not_affordable,not_recommended,none,,none,"Do not make this payment by 22 March 2026. Only USD 2,738.48 of the USD 3,362.40 is safe, and none of the available options keeps the USD 2,100 minimum protected within the next 90 days."
request_214,54417.51,affordable_with_plan,partial_payment,2024-12-04:54417.51|2024-12-15:15332.49,2024-12-15,none,"Pay INR 54,417.51 today and the remaining INR 15,332.49 on 15 December 2024. This completes the full request and keeps the INR 174,900 minimum protected."
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments of ZAR 10,395.15, starting 9 May 2025. This completes the full ZAR 29,986 and keeps the ZAR 15,700 minimum protected."
request_216,467.81,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 September 2026. Only USD 467.81 of the USD 3,332.40 is safe, and none of the available options keeps the USD 1,800 minimum protected within the next 90 days."
request_217,17891.75,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,reduce_to:event_19977:367.40|stop:event_19978|reduce_to:event_20044:663.30,"Use 3 installments of ZAR 12,889.07, starting 19 March 2024. This completes the full ZAR 37,180 and keeps the ZAR 26,800 minimum protected."
request_218,25213862.96,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21,195,893.33, starting 7 August 2025. This completes the full IDR 61,142,000 and keeps the IDR 34,477,200 minimum protected."
request_219,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 13 June 2026. Only EUR 0 of the EUR 1,673.10 is safe, and none of the available options keeps the EUR 1,100 minimum protected within the next 90 days."
request_220,122.2,not_affordable,not_recommended,none,,none,"Do not make this payment by 3 July 2024. Only EUR 122.20 of the EUR 3,118.50 is safe, and none of the available options keeps the EUR 1,100 minimum protected within the next 90 days."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800 today. This leaves at least INR 101,245.09 available over the next 90 days, above the INR 81,500 minimum."
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078 today. This leaves at least ZAR 81,193.23 available over the next 90 days, above the ZAR 27,300 minimum."
request_223,316.34,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 October 2024. Only EUR 316.34 of the EUR 898.70 is safe, and none of the available options keeps the EUR 800 minimum protected within the next 90 days."
request_224,9208316.14,affordable_with_plan,partial_payment,2025-02-04:9208316.14|2025-02-15:1118683.86,2025-02-15,none,"Pay IDR 9,208,316.14 today and the remaining IDR 1,118,683.86 on 15 February 2025. This completes the full request and keeps the IDR 22,187,600 minimum protected."
request_225,9989833.78,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,"Use 3 installments of IDR 7,647,120, starting 20 July 2026. This completes the full IDR 22,059,000 and keeps the IDR 17,670,700 minimum protected."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157,000 today. This leaves at least INR 239,074.02 available over the next 90 days, above the INR 209,400 minimum."
request_227,8234.81,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 June 2025. Only INR 8,234.81 of the INR 259,700 is safe, and none of the available options keeps the INR 62,900 minimum protected within the next 90 days."
request_228,2620053.61,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 April 2026. Only IDR 2,620,053.61 of the IDR 63,327,000 is safe, and none of the available options keeps the IDR 26,191,200 minimum protected within the next 90 days."
request_229,507.82,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use 3 installments of EUR 529.29, starting 18 March 2024. This completes the full EUR 1,526.80 and keeps the EUR 1,000 minimum protected."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Pay EUR 3,537.60 today. This leaves at least EUR 3,973.56 available over the next 90 days, above the EUR 2,000 minimum."
request_231,34316.59,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-03-15,stop:event_21224,"Use 3 installments of ZAR 12,378.08, starting 6 January 2026. This completes the full ZAR 35,706 and keeps the ZAR 24,300 minimum protected."
request_232,63.52,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 August 2024. Only EUR 63.52 of the EUR 1,970.10 is safe, and none of the available options keeps the EUR 2,400 minimum protected within the next 90 days."
request_233,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 December 2025. Only IDR 0 of the IDR 6,241,000 is safe, and none of the available options keeps the IDR 10,365,700 minimum protected within the next 90 days."
request_234,202.11,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,"Pay EUR 1,213.30 in full on 15 September 2026. Paying earlier would take the balance below the EUR 700 minimum, which it reaches on 14 July 2026."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,"Pay USD 967.20 today. This leaves at least USD 845.87 available over the next 90 days, above the USD 700 minimum."
request_236,4577816.08,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 February 2025. Only IDR 4,577,816.08 of the IDR 52,383,000 is safe, and none of the available options keeps the IDR 16,768,600 minimum protected within the next 90 days."
request_237,15387000.62,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 May 2026. Only IDR 15,387,000.62 of the IDR 23,826,000 is safe, and none of the available options keeps the IDR 22,431,500 minimum protected within the next 90 days."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments of USD 230.05, starting 7 December 2024. This completes the full USD 663.60 and keeps the USD 700 minimum protected."
request_239,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 24 May 2025. Only USD 0 of the USD 642 is safe, and none of the available options keeps the USD 600 minimum protected within the next 90 days."
request_240,11539.08,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 March 2026. Only INR 11,539.08 of the INR 101,200 is safe, and none of the available options keeps the INR 52,800 minimum protected within the next 90 days."
request_241,21052000,affordable_later,not_recommended,none,2024-03-03,none,"The full IDR 21,052,000 only becomes safe on 3 March 2024, and none of the payment methods this user accepts reaches that date. Do not proceed now."
request_242,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 August 2025. Only EUR 0 of the EUR 1,966.80 is safe, and none of the available options keeps the EUR 600 minimum protected within the next 90 days."
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468 today. This leaves at least ZAR 23,791.14 available over the next 90 days, above the ZAR 19,900 minimum."
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918 today. This leaves at least ZAR 55,758.73 available over the next 90 days, above the ZAR 45,900 minimum."
request_245,32454.92,affordable_later,wait,2026-01-15:128500,2026-01-15,none,"Pay INR 128,500 in full on 15 January 2026. Paying earlier would take the balance below the INR 94,600 minimum, which it reaches on 14 November 2025."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22,216.48, starting 3 April 2026. This completes the full ZAR 64,086 and keeps the ZAR 39,300 minimum protected."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,"Pay EUR 1,059.30 today. This leaves at least EUR 1,448.83 available over the next 90 days, above the EUR 1,300 minimum."
request_248,960.46,affordable_with_plan,partial_payment,2025-02-07:960.46|2025-04-15:1005.14,2025-04-15,none,"Pay USD 960.46 today and the remaining USD 1,005.14 on 15 April 2025. This completes the full request and keeps the USD 1,300 minimum protected."
request_249,132.25,affordable_later,wait,2026-03-15:643.20,2026-03-15,none,"Pay USD 643.20 in full on 15 March 2026. Paying earlier would take the balance below the USD 600 minimum, which it reaches on 14 January 2026."
request_250,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 January 2025. Only ZAR 0 of the ZAR 124,278 is safe, and none of the available options keeps the ZAR 35,300 minimum protected within the next 90 days."
request_251,1513.6,affordable_later,not_recommended,none,2025-05-03,none,"The full EUR 1,513.60 only becomes safe on 3 May 2025, and none of the payment methods this user accepts reaches that date. Do not proceed now."
request_252,5415428.97,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Pay IDR 28,082,000 in full on 15 September 2026. Paying earlier would take the balance below the IDR 15,152,200 minimum, which it reaches on 14 July 2026."
request_253,1673.96,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,"Use 3 installments of EUR 984.60, starting 21 March 2024. This completes the full EUR 2,840.20 and keeps the EUR 2,300 minimum protected."
request_254,486.12,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,"Pay USD 3,535.20 in full on 15 October 2025. Paying earlier would take the balance below the USD 2,500 minimum, which it reaches on 14 August 2025."
request_255,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 June 2026. Only IDR 0 of the IDR 3,345,000 is safe, and none of the available options keeps the IDR 9,813,900 minimum protected within the next 90 days."
request_256,147990.66,affordable_later,not_recommended,none,2024-07-15,none,"The full INR 218,700 only becomes safe on 15 July 2024, and none of the payment methods this user accepts reaches that date. Do not proceed now."
request_257,528.58,affordable_later,wait,2026-01-15:1352.40,2026-01-15,none,"Pay USD 1,352.40 in full on 15 January 2026. Paying earlier would take the balance below the USD 1,600 minimum, which it reaches on 14 November 2025."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,"Pay USD 1,113.60 today. This leaves at least USD 700.33 available over the next 90 days, above the USD 500 minimum."
request_259,205.43,affordable_later,wait,2024-11-15:935,2024-11-15,none,"Pay EUR 935 in full on 15 November 2024. Paying earlier would take the balance below the EUR 600 minimum, which it reaches on 14 September 2024."
request_260,7069542.96,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 April 2025. Only IDR 7,069,542.96 of the IDR 52,079,000 is safe, and none of the available options keeps the IDR 20,727,700 minimum protected within the next 90 days."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Pay EUR 1,830.40 today. This leaves at least EUR 1,863.13 available over the next 90 days, above the EUR 1,500 minimum."
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9,236,000 today. This leaves at least IDR 59,283,323.13 available over the next 90 days, above the IDR 31,018,500 minimum."
request_263,5781.9,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 June 2025. Only ZAR 5,781.90 of the ZAR 51,546 is safe, and none of the available options keeps the ZAR 24,100 minimum protected within the next 90 days."
request_264,16387.73,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Pay INR 111,300 in full on 15 June 2026. Paying earlier would take the balance below the INR 59,500 minimum, which it reaches on 14 April 2026."
request_265,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 March 2024. Only INR 0 of the INR 45,970 is safe, and none of the available options keeps the INR 189,700 minimum protected within the next 90 days."
request_266,759.99,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,"Use 3 installments of EUR 324.13, starting 3 August 2025. This completes the full EUR 935 and keeps the EUR 900 minimum protected."
request_267,1616.86,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,none,"Use 3 installments of EUR 667.33, starting 8 January 2026. This completes the full EUR 1,925 and keeps the EUR 1,500 minimum protected."
request_268,1019.74,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-08-15,none,"Use 3 installments of EUR 841.22, starting 14 June 2024. This completes the full EUR 2,426.60 and keeps the EUR 1,400 minimum protected."
request_269,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2 January 2026. Only ZAR 0 of the ZAR 15,490 is safe, and none of the available options keeps the ZAR 23,100 minimum protected within the next 90 days."
request_270,116.36,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 August 2026. Only USD 116.36 of the USD 3,028.80 is safe, and none of the available options keeps the USD 1,400 minimum protected within the next 90 days."
request_271,15382.51,affordable_later,wait,2024-11-15:91300,2024-11-15,none,"Pay INR 91,300 in full on 15 November 2024. Paying earlier would take the balance below the INR 58,200 minimum, which it reaches on 14 September 2024."
request_272,5329082.48,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use 3 installments of IDR 4,709,466.67, starting 12 February 2025. This completes the full IDR 13,585,000 and keeps the IDR 7,508,600 minimum protected."
request_273,8183034.22,affordable_with_plan,partial_payment,2026-04-07:8183034.22|2026-04-15:7677965.78,2026-04-15,none,"Pay IDR 8,183,034.22 today and the remaining IDR 7,677,965.78 on 15 April 2026. This completes the full request and keeps the IDR 18,774,600 minimum protected."
request_274,2218.87,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2025-01-15,stop:event_25179,"Use 3 installments of EUR 940.75, starting 4 December 2024. This completes the full EUR 2,713.70 and keeps the EUR 1,800 minimum protected."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000 today. This leaves at least IDR 15,113,530.56 available over the next 90 days, above the IDR 12,760,100 minimum."
